cik,ticker,legal_name,issuer_type,nasdaq_listing_date,initial_matrix_due_date,initial_matrix_publication_date,initial_matrix_source,continuation_status,continuation_date,continuation_source,continuation_source_url,continuation_form_type,continuation_confidence,matched_signal,evidence_excerpt,post_vacatur_candidate_filings,reviewed_post_vacatur_filings,fetch_failed_filings
1676047,NTRB,NutriBand Inc.,,2021-10-01,2022-10-01,2022-10-31,0001213900-22-067690,continued_same_matrix,2024-12-16,0001213900-24-109109,https://www.sec.gov/Archives/edgar/data/1676047/000121390024109109/ea0221125-01.htm,DEF 14A,0.95,Board Diversity Matrix;Total Number of Directors;Did Not Disclose Gender;Did Not Disclose Demographic Background,"of losses that we could incur relating to such indemnities. Historically, any amounts payable pursuant to such director and officer indemnities have not had a material negative effect on our business, financial condition or results of operations. 8 Board Diversity Matrix Our Nasdaq Board Diversity Matrix as filed with NASDAQ has been posted on the Internet and may be viewed at https: // nutriband.com / diversity / . Board Diversity Matrix FOR: Nutriband Inc. As of 12 / 01 / 2024 Total Number of Directors 7 Female Male Non-Binary Did Not Disclose Gender Part I: Gender Identity Directors 1 5 1 Part II: Demographic Background African American or Black Alaskan Native or Native American Asian Asian American Hispanic or Latinx Native Hawaiian or Pacific Islander White 7 Two or More Races or Ethnicities LGBTQ+ 1 Did Not Disclose Demographic Background Compliance with Section 16(a) of the Securities Exchange Act of 1934 Section 16(a) of the Exchange Act requires our officers and directors, and persons who beneficially own more than ten percent of our Common Stock, to file reports of ownership and changes of ownership of such securities wit",6,1,0
1865408,,Exscientia plc,,2021-10-01,2022-10-01,2022-03-23,0001865408-22-000005,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
1789940,FWRG,"First Watch Restaurant Group, Inc.",,2021-10-01,2022-10-01,2022-04-11,0001789940-22-000044,continued_other_narrative,2025-04-08,0001789940-25-000031,https://www.sec.gov/Archives/edgar/data/1789940/000178994025000031/fwrg-20250407.htm,DEF 14A,0.75,\bboard diversity\b,"Capital Management ○ ○ ○ ○ ○ ○ ● ○ ○ Legal ○ ○ ○ ○ Social & Environmental Responsibility ○ ○ ○ ○ ○ ● C-Suite/Executive Management ● ● ● ● ● ● ● ● ● 14 ● Integral element of career ○ Meaningful involvement during career, including directorships/certifications Board Diversity In addition to the broad diversity of experience and expertise reflected above, our Board consists of three female directors, seven male directors, and we have two self-identified directors from an underrepresented minority. Communications with the Company and the Board Stockholders may communicate with the Company through its Investor Relations Department by writing to: Investor Relations, First Watch Restaurant Group, Inc., 8725 Pendery Place, Ste. 201, Bradenton, FL 34201. Stockholders interested in communicating with our Board, any Board committee, any individual director, or any group of directors (such as our independent directors) should send written correspondence to First Watch Restaurant Group, Inc. Board of Directors, 8725 Pendery Place, Ste. 201, Bradenton, FL 34201, Attn: Secretary. At the direction of the Board, all mail re",6,6,0
1784567,,"Harbor Custom Development, Inc.",,2021-10-05,2022-10-05,2022-04-21,0001493152-22-010645,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
1829794,EMPD,Empery Digital Inc.,,2021-10-06,2022-10-06,,,continued_other_narrative,2025-04-25,0001683168-25-002834,https://www.sec.gov/Archives/edgar/data/1829794/000168316825002834/volcon_pre14a.htm,PRE 14A,0.75,"\bdiversity\b.{0,220}\b(?:director|directors|nominee|nominees|board)\b","em, given their individual circumstances, to perform responsibly all director duties. Each director must represent the interests of all stockholders. When considering potential director candidates, our Board also considers the candidate’s character, judgment, diversity, skill set, specific business background and global or international experience in the context of our needs and those of the Board. Director Independence Pursuant to Rule 5605(b)(1) of the Nasdaq listing standards, a majority of the members of the Board must be “independent directors” as that term is defined by Nasdaq Rule 5605(a)(2). Our Board has evaluated the independence of its current members based upon the applicable SEC rules and Nasdaq director independence standards. Applying these standards, our Board has affirmatively determined that Messrs. Foster, Olason, Solgaard, and Ms. Tjon are “independent directors” under the applicable rules. We have determined that Mr. Kim is not an “independent director” under the applicable rules. Insider Trading Policy Our Board has adopted an Insider Trading Policy that applies to all of our directors, executive officers, and employees. The policy attempts to establish standards that will avoid even the appearance of improper conduct",9,9,0
1745020,,"Theseus Pharmaceuticals, Inc.",,2021-10-07,2022-10-07,2022-04-25,0001558370-22-005880,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
1455365,CGTX,COGNITION THERAPEUTICS INC,,2021-10-08,2022-10-08,2022-04-25,0001104659-22-049727,continued_other_narrative,2025-04-28,0001104659-25-040193,https://www.sec.gov/Archives/edgar/data/1455365/000110465925040193/tm252486-4_def14a.htm,DEF 14A,0.75,"\bdiversity\b.{0,220}\b(?:director|directors|nominee|nominees|board)\b","such as other positions the director or candidate holds, including other boards of directors on which he or she serves, and the independence of each director and candidate, to ensure that a substantial majority of our Board is independent. Board Commitment to Diversity Our Board is committed to building a Board that consists of the optimal mix of skills and experience capable of effectively overseeing the execution of our business and meeting our evolving needs.. The Nominating and Corporate Governance Committee considers the value of diversity on our Board in evaluating director nominees. Accordingly, the Nominating and Corporate Governance Committee’s evaluation of director nominees includes consideration of their ability to contribute to the diversity of personal and professional experiences, opinions, perspectives and backgrounds on our Board. As presently constituted, our Board represents a deliberate mix of members who have a deep understanding of our business as well as members who have different skill sets and points of view. Potential Director Candidates On an ongoing basis, the Nominating and Corporate Governance Committee will consid",6,6,0
1615055,,IsoPlexis Corp,,2021-10-08,2022-10-08,2022-08-13,https://web.archive.org/web/20220813055156id_/https://investors.isoplexis.com/investor-resources/investor-faqs,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
1782223,PYXS,"Pyxis Oncology, Inc.",,2021-10-08,2022-10-08,2022-04-28,0001193125-22-127710,not_continued_in_reviewed_filings,,,,,0.7,,,6,6,0
1844971,GREE,Greenidge Generation Holdings Inc.,,2021-10-12,2022-10-12,2022-07-28,0001140361-22-027197,continued_other_narrative,2025-04-28,0001193805-25-000565,https://www.sec.gov/Archives/edgar/data/1844971/000119380525000565/def14a14132002_04282025.htm,DEF 14A,0.75,"\b(?:director|directors|nominee|nominees|board)\b.{0,220}\bdiversity\b","S AND SELECTION Our Board is responsible for reviewing, at least annually, the appropriate skills and experience required of Board members. We have not formally established any specific, minimum qualifications that must be met or skills that are necessary for directors to possess. In general, in identifying and evaluating nominees for director, our Board considers educational background, diversity of professional experience, knowledge of our business, integrity, professional reputation, independence, wisdom, and the ability to represent the best interests of our stockholders. In accordance with Nasdaq Rule 5605, a majority of the independent directors may recommend a new director nominee for selection by the Board of Directors. Our Board believes that the independent directors can satisfactorily carry out the responsibility of properly selecting or approving director nominees without the formation of a standing nominating and corporate governance committee. The directors who will participate in the consideration and recommendation of director nominees are Messrs. Fearn, Krug, Lowe, Neuscheler and Rogers. Our Board recommends candidates for election to the Board in accordance with the policies, principles and criteria described in",7,7,0
1419554,BBLG,Bone Biologics Corp,,2021-10-13,2022-10-13,,,continued_other_narrative,2025-04-11,0001641172-25-003884,https://www.sec.gov/Archives/edgar/data/1419554/000164117225003884/formpre14a.htm,PRE 14A,0.75,"\bdiversity\b.{0,220}\b(?:director|directors|nominee|nominees|board)\b","or candidates from stockholders, management, directors, and other sources. In its assessment of each potential candidate, the Nominating and Corporate Governance Committee considers, among other things, each candidate’s experience, qualifications, attributes, diversity and skills in light of the Company’s business, structure and current needs of the Board. Stockholders may recommend candidates for Nominating and Governance Committee consideration by submitting such recommendation using the method described under “Communications with the Board.” Stockholders may also nominate director candidates in accordance with our Bylaws as described under “2026 Annual Meeting ⸻ Stockholder Nominations of Directors.” Board (and Committee) Meetings and Attendance For fiscal year 2024, each of our directors attended 75% or more of the aggregate number of meetings of the Board, and the committee(s) of the Board on which he serves. Each director is expected to attend and participate in, either in person or by means of telephonic or video conference, all scheduled meetings of the Board and all meetings of the committees of the Board on which such director serves, and all scheduled meetings of stockholders o",4,4,0
1839285,HCTI,"Healthcare Triangle, Inc.",,2021-10-13,2022-10-13,2022-10-19,0001607062-22-000633,continued_other_narrative,2025-02-25,0001213900-25-017146,https://www.sec.gov/Archives/edgar/data/1839285/000121390025017146/ea0232172-pre14a_health.htm,PRE 14A,0.75,\bboard diversity\b,hies of Nominees For Director 5 Recommendation of the Board of Directors 6 CORPORATE GOVERNANCE 7 Meetings of the Board of Directors 7 Code of Business Conduct and Ethics 7 Independence of the Board of Directors 7 Identifying and Evaluating Director Nominees; Board Diversity 8 Minimum Qualifications 8 Procedures For Submitting Stockholder Proposals 9 Securityholder and Interested Party Communications 9 Board Leadership Structure and Board’s Role in Risk Oversight 9 Risks Related to Compensation Policies and Practices 10 Board Committees 10 Board and Committee Evaluations 10 Director Attendance at Annual Meeting of Stockholders 10 Audit Committee 11 Report of The Audit Committee of the Board of Directors 11 Compensation Committee 12 Nominating and Corporate Governance Committee 13 SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT 14 PROPOSAL TWO: PROPOSAL FOR THE AUTOMATIC INCREASE IN THE NUMBER OF SHARES SUBJECT TO THE 2020 STOCK INCENTIVE PLAN 15 PROPOSAL THREE: RATIFICATION OF THE APPOINTMENT OF OUR INDEPENDENT REGISTERED PUBLIC ACCOUNTING FIRM 17 Policy on Audit Committee Pre-Approval of Audi,12,12,0
1858257,,"AvidXchange Holdings, Inc.",,2021-10-13,2022-10-13,2022-04-28,0001193125-22-127975,not_continued_in_reviewed_filings,,,,,0.7,,,16,16,0
1653482,GTLB,Gitlab Inc.,,2021-10-14,2022-10-14,2022-05-05,0001653482-22-000023,continued_other_narrative,2025-05-01,0001628280-25-021573,https://www.sec.gov/Archives/edgar/data/1653482/000162828025021573/gtlb-20250501.htm,DEF 14A,0.75,"\bdiversity\b.{0,220}\b(?:director|directors|nominee|nominees|board)\b","believes must be met by a committee-recommended nominee for membership on our board of directors and any specific qualities or skills that the committee believes are necessary for one or more of the members of our board of directors to possess. We also value diversity on a company-wide basis and seek to achieve a mix of members to our board of directors that represent a broad range of backgrounds and experiences, including with respect to age, gender, race, ethnicity, and occupation. Because the identification, evaluation and selection of qualified directors is a complex and subjective process that requires consideration of many intangible factors, and will be significantly influenced by the particular needs of our board of directors from time to time, our board of directors has not adopted a specific set of minimum qualifications, qualities or skills that are necessary for a nominee to possess, other than those that are necessary to meet U.S. legal and regulatory rules and the Nasdaq listing requirements and the provisions of our restated certificate of incorporation, and amended and restated bylaws, Corporate Governance Guidelines, and charters of the committees of our board of direct",6,6,0
1799011,LUCD,Lucid Diagnostics Inc.,,2021-10-14,2022-10-14,2022-05-02,0001493152-22-011734,continued_other_narrative,2025-04-18,0001641172-25-005446,https://www.sec.gov/Archives/edgar/data/1799011/000164117225005446/formpre14a.htm,PRE 14A,0.75,"\bdiversity\b.{0,220}\b(?:director|directors|nominee|nominees|board)\b","board needs that arise from time to time and will also consider the overall experience and makeup of its members to obtain a broad and diverse mix of board members. Though the nominating and corporate governance committee does not have specific guidelines on diversity, it is one of many criteria considered by the nominating and corporate governance committee when evaluating candidates. The nominating and corporate governance committee does not distinguish among nominees recommended by stockholders and other persons. The nominating and corporate governance committee does not have a written policy or formal procedural requirements for stockholders to submit recommendations for director nominations. However, the nominating and corporate governance committee will consider recommendations from stockholders. Stockholders should communicate nominee suggestions directly to the nominating and corporate governance committee and accompany the recommendation with biographical details and a statement of support for the nominee. The suggested nominee must also provide a statement of consent to being considered for nomination. There have been no material changes to the procedures by which security holders may recommend nominees to the Board. 29 In addition to being responsible for selecting nominees to serve on the Bo",8,8,0
1840229,INKT,"MiNK Therapeutics, Inc.",,2021-10-15,2022-10-15,,,continued_other_narrative,2025-04-18,0000950170-25-055881,https://www.sec.gov/Archives/edgar/data/1840229/000095017025055881/mink-pre_14a_2025_v2.htm,PRE 14A,0.75,"\b(?:director|directors|nominee|nominees|board)\b.{0,220}\bdiversity\b","haracteristics necessary to create a highly functional and collegial Board, which include personal and professional integrity, practical wisdom and mature judgment, an inquisitive and objective perspective, and time availability for performing the duties of a director. The Board, as a group, is expected to encompass a range of talents, ages, skills, diversity, and expertise sufficient to provide sound and prudent guidance with respect to the operations and interests of our business. Examples of desired professional competencies include accounting and financial literacy, industry knowledge, medical or scientific knowledge, and management experience. When evaluating potential new Board appointments, the Corporate Governance and Nominating Committee considers these factors, but does not have any fixed criteria for candidates it recommends because the Board believes that a flexible evaluation process allows the committee to make sound judgments based on the needs of the organization and specific attributes of each candidate without a need for a formal policy. Candidates should also be enthusiastic about service on our Board and working collaboratively with existing Board members to create value f",6,6,0
1856028,,"Stronghold Digital Mining, Inc.",,2021-10-20,2022-10-20,2023-05-01,https://www.sec.gov/Archives/edgar/data/1856028/000114036123021620/ny20008399x1_def14a.htm,no_post_vacatur_relevant_filing,,,,,0.65,,,0,0,0
