cik,ticker,legal_name,nasdaq_listing_date,initial_matrix_due_date,company_urls,snapshots_checked,status,found_window,found_url,found_date,found_confidence,found_matched_query,found_excerpt
1519449,SKWD,"Skyward Specialty Insurance Group, Inc.",2023-01-13,2024-01-13,https://investors.skywardinsurance.com;https://skywardinsurance.com,0,not_found,,,,0.0,,
1939965,SLMT,Brera Holdings PLC,2023-01-27,2024-01-27,https://investors.breraholdings.com;https://brera.com,0,not_found,,,,0.0,,
1920406,ASST,"Strive, Inc.",2023-02-03,2024-02-03,https://assetentitiesinc.com;https://assetentities.com,2,not_found,,,,0.0,,
1888886,GPCR,Structure Therapeutics Inc.,2023-02-03,2024-02-03,https://structuretx.com,0,not_found,,,,0.0,,
1865127,,"Lucy Scientific Discovery, Inc.",2023-02-09,2024-02-09,https://ir.lucyscientific.com;https://lucyscientific.com,2,not_found,,,,0.0,,
1933414,MLYS,"Mineralys Therapeutics, Inc.",2023-02-10,2024-02-10,https://mineralystx.com,0,not_found,,,,0.0,,
1829247,BFRG,"BullFrog AI Holdings, Inc.",2023-02-14,2024-02-14,https://ir.bullfrogai.com;https://bullfrogai.com,2,not_found,,,,0.0,,
1895618,GXAI,GAXOS.AI INC.,2023-02-15,2024-02-15,https://nftgamingcompanyinc.com;https://gaxos.ai,0,not_found,,,,0.0,,
1611282,,"PishPosh, Inc.",2023-03-07,2024-03-07,https://pishposhbaby.com;https://datatracks.com,6,not_found,,,,0.0,,
1938046,MGRX,"MANGOCEUTICALS, INC.",2023-03-21,2024-03-21,https://mangoceuticals.com;https://mangorx.com,4,not_found,,,,0.0,,
1875496,,"YanGuFang International Group Co., Ltd",2023-03-28,2024-03-28,,0,no_company_url,,,,0,,
1948455,ISPR,Ispire Technology Inc.,2023-04-04,2024-04-04,https://getispire.com;https://ispiretechnology.com,4,not_found,,,,0.0,,
1930179,ARBB,ARB IOT Group Ltd,2023-04-05,2024-04-05,https://arbiotgroup.com,0,not_found,,,,0.0,,
1899658,WLGSF,"WANG & LEE GROUP, Inc.",2023-04-20,2024-04-20,https://wangnlee.com.hk;https://emsd.gov.hk,0,not_found,,,,0.0,,
1951067,CISS,C3is Inc.,2023-06-12,2024-06-12,https://c3is.pro,0,not_found,,,,0.0,,
1962481,BOF,BranchOut Food Inc.,2023-06-16,2024-06-16,https://branchoutfood.com;https://securitize.io,1,not_found,,,,0.0,,
1891856,GENK,"GEN Restaurant Group, Inc.",2023-06-28,2024-06-28,https://genkoreanbbq.com,0,not_found,,,,0.0,,
1823584,AENT,ALLIANCE ENTERTAINMENT HOLDING CORP,2023-06-30,2024-06-30,https://ncircleentertainment.com;https://aent.com,2,not_found,,,,0.0,,
1765850,AURE,Aurelion Inc.,2023-07-06,2024-07-06,https://prestigewm.hk.com;https://marcumasia.cn,0,not_found,,,,0.0,,
1737523,BGLC,BioNexus Gene Lab Corp,2023-07-21,2024-07-21,https://bionexusgenelab.com;https://bglc.com,2,not_found,,,,0.0,,
1805526,DFDV,DeFi Development Corp.,2023-07-25,2024-07-25,https://ir.janover.co;https://datatracks.com,8,not_found,,,,0.0,,
1911545,GITS,"Global Interactive Technologies, Inc.",2023-08-01,2024-08-01,https://hanryuholdings.com;https://edgarsuite.com,2,not_found,,,,0.0,,
1904286,MIRA,"MIRA PHARMACEUTICALS, INC.",2023-08-03,2024-08-03,https://mirapharmaceuticals.com;https://web.lumiconnect.com,0,not_found,,,,0.0,,
1928581,GMEX,GMEX Robotics Corp,2023-08-08,2024-08-08,https://fitellcorp.com,0,not_found,,,,0.0,,
1843165,YHC,LQR House Inc.,2023-08-10,2024-08-10,https://lqrhouseinc.com;https://lqrhouse.com,0,not_found,,,,0.0,,
1935418,FMST,Foremost Clean Energy Ltd.,2023-08-23,2024-08-23,https://foremostlithium.com;https://mrctemiscamingue.org,0,not_found,,,,0.0,,
1948697,SPPL,SIMPPLE LTD.,2023-09-13,2024-09-13,https://simpple.ai;https://simpple.com.sg,6,not_found,,,,0.0,,
1825367,,"RayzeBio, Inc.",2023-09-15,2024-09-15,https://rayzebio.com;https://bms.com,8,not_found,,,,0.0,,
1963439,TURB,"Turbo Energy, S.A.",2023-09-22,2024-09-22,https://turbo-e.com;https://fr.enerfip.eu,0,not_found,,,,0.0,,
1922335,SYRA,Syra Health Corp,2023-09-29,2024-09-29,https://ir.syrahealth.com;https://syrahealth.com,0,not_found,,,,0.0,,
1713210,ATPC,Agape ATP Corp,2023-10-11,2024-10-11,https://atpc.com.my;https://agapeatpgroup.com,3,not_found,,,,0.0,,
1907108,LXEO,"Lexeo Therapeutics, Inc.",2023-11-03,2024-11-03,https://lexeotx.com;https://lexeo.com,12,not_found,,,,0.0,,
1963685,RR,RICHTECH ROBOTICS INC.,2023-11-17,2024-11-17,https://richtechrobotics.com;https://richtechrobot.com,0,not_found,,,,0.0,,
1840563,ELAB,PMGC Holdings Inc.,2023-11-21,2024-11-21,https://elevailabsinc.com;https://elevaiskincare.com,1,not_found,,,,0.0,,
1961847,INHD,INNO HOLDINGS INC.,2023-12-04,2024-12-04,https://innoholdings.com;https://innometalstuds.com,4,not_found,,,,0.0,,
